product_name,product_price,product_images,product_hyperlinks
Apple iPhone 14 Plus (128 GB) Blue,68999,https://m.media-amazon.com/images/I/61BGE6iu4AL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjQxNjM2OTQwNzYwMDk5OjE3MTI2ODk1NDM6c3BfYXRmOjIwMDc3MzU3Nzg3Mzk4OjowOjo&url=%2FApple-iPhone-Plus-128GB-Blue%2Fdp%2FB0BDK62STN%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2NXETAAGMPF7B%26dib%3DeyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1712689543%26sprefix%3Diphone%252Caps%252C223%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 15 Pro (128 GB) Blue Titanium,127990,https://m.media-amazon.com/images/I/81SigpJN1KL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjQxNjM2OTQwNzYwMDk5OjE3MTI2ODk1NDM6c3BfYXRmOjMwMDA1NDM0NTk0ODIzMjo6MDo6&url=%2FApple-iPhone-15-Pro-128%2Fdp%2FB0CHX2DRGV%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2NXETAAGMPF7B%26dib%3DeyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1712689543%26sprefix%3Diphone%252Caps%252C223%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 14 (128 GB) Blue,58999,https://m.media-amazon.com/images/I/61bK6PMOC3L._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_3?crid=2NXETAAGMPF7B&dib=eyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c&dib_tag=se&keywords=iphone&qid=1712689543&sprefix=iphone%2Caps%2C223&sr=8-3
Apple iPhone 13 (128GB) Blue,52990,https://m.media-amazon.com/images/I/71xb2xkN5qL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_4?crid=2NXETAAGMPF7B&dib=eyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c&dib_tag=se&keywords=iphone&qid=1712689543&sprefix=iphone%2Caps%2C223&sr=8-4
Apple iPhone 13 (128GB) Green,52990,https://m.media-amazon.com/images/I/61-r9zOKBCL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_5?crid=2NXETAAGMPF7B&dib=eyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c&dib_tag=se&keywords=iphone&qid=1712689543&sprefix=iphone%2Caps%2C223&sr=8-5
Apple iPhone 15 (128 GB) Green,72690,https://m.media-amazon.com/images/I/71nvkHnPpZL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX6NQMD/ref=sr_1_6?crid=2NXETAAGMPF7B&dib=eyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c&dib_tag=se&keywords=iphone&qid=1712689543&sprefix=iphone%2Caps%2C223&sr=8-6
Apple iPhone 15 (128 GB) Blue,,https://m.media-amazon.com/images/I/71d7rfSl0wL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_7?crid=2NXETAAGMPF7B&dib=eyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c&dib_tag=se&keywords=iphone&qid=1712689543&sprefix=iphone%2Caps%2C223&sr=8-7
Apple iPhone 15 (256 GB) Green,81990,https://m.media-amazon.com/images/I/71nvkHnPpZL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX41VNZ/ref=sr_1_8?crid=2NXETAAGMPF7B&dib=eyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c&dib_tag=se&keywords=iphone&qid=1712689543&sprefix=iphone%2Caps%2C223&sr=8-8
Apple iPhone 15 Pro Max (256 GB) Blue Titanium,148900,https://m.media-amazon.com/images/I/81fxjeu8fdL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-Pro-Max-256/dp/B0CHX1K2ZC/ref=sr_1_9?crid=2NXETAAGMPF7B&dib=eyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c&dib_tag=se&keywords=iphone&qid=1712689543&sprefix=iphone%2Caps%2C223&sr=8-9
Apple iPhone 14 (128 GB) Starlight,58999,https://m.media-amazon.com/images/I/618Bb+QzCmL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-14-128GB-Starlight/dp/B0BDK8LKPJ/ref=sr_1_10?crid=2NXETAAGMPF7B&dib=eyJ2IjoiMSJ9.auNg4E9PZpT5ekZOv_8n4WVsZOVlN-HaebVLawlJYTZhDPQn-fIYfKJxxKAv6p4vEoCBOBwmzlpryjKwxp1_VdtJu9ItlJeOiZ3S5bR9TbKhkCMT_mvZoanfiqlaMlbS6Hz83jXna8WIxshO3yUcCwk6_QgYSeRp-dHVbEt6-HMgcgKAfGBw07ogMmuymBt5_3Yy1CNx9MkQTow6NIJ4TYmsHhNdtYNwytnWJlVo80Y.5mrP3bxdaDslp2JV-hI9LXXfHLk8gWzrd-iYXnHQ25c&dib_tag=se&keywords=iphone&qid=1712689543&sprefix=iphone%2Caps%2C223&sr=8-10
