product_name,product_price,product_images,product_hyperlinks
"Titan Crest Premium Smart Watch|1.43"" AMOLED Display with AOD|466x466 Pixel Resolution|Functional Crown|SingleSync BT Calling|Advanced Chipset|100+ Sports Modes & WatchfacesIP68 Smartwatch",5994,https://m.media-amazon.com/images/I/719RiDAGXtL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDM5NTA1NjA5Mzk0MDk5OjE3MTI2ODg1ODA6c3BfYXRmOjMwMDEyOTQ2MzkzMDYzMjo6MDo6&url=%2FTitan-Resolution-Functional-SingleSync-WatchfacesIP68%2Fdp%2FB0CLRCTC58%2Fref%3Dsr_1_1_sspa%3Fcrid%3DA26YEW40HGP9%26dib%3DeyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y%26dib_tag%3Dse%26keywords%3Dsamsung%2Bsmart%2Bwatches%26qid%3D1712688580%26sprefix%3D%252Caps%252C254%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Fastrack FS1 Pro Smartwatch|1.96"" Super AMOLED Arched Display with High Resolution of 410X502|Singlesync BT Calling|Nitrofast Charging|110+ Sports Modes|200+ Watchfaces",2871.,https://m.media-amazon.com/images/I/712+H1IHbML._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDM5NTA1NjA5Mzk0MDk5OjE3MTI2ODg1ODA6c3BfYXRmOjMwMDExMjE2MjQ4NTEzMjo6MDo6&url=%2FFastrack-Smartwatch-Resolution-Singlesync-Watchfaces%2Fdp%2FB0CPLPYPCL%2Fref%3Dsr_1_2_sspa%3Fcrid%3DA26YEW40HGP9%26dib%3DeyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y%26dib_tag%3Dse%26keywords%3Dsamsung%2Bsmart%2Bwatches%26qid%3D1712688580%26sprefix%3D%252Caps%252C254%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Samsung Galaxy Watch4 Bluetooth(4.0 cm, Black, Compatible with Android only)",10999,https://m.media-amazon.com/images/I/61nBzBREzGL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Galaxy-Bluetooth-Compatible-Android/dp/B09DG4FJTB/ref=sr_1_3?crid=A26YEW40HGP9&dib=eyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y&dib_tag=se&keywords=samsung+smart+watches&qid=1712688580&sprefix=%2Caps%2C254&sr=8-3
"Samsung Galaxy Watch4 Classic LTE (4.6cm, Black)",10999,https://m.media-amazon.com/images/I/61ftRB6KycL._AC_UY218_.jpg,https://www.amazon.in/Galaxy-Watch4-Classic-4-6cm-Black/dp/B09DG7YQR1/ref=sr_1_4?crid=A26YEW40HGP9&dib=eyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y&dib_tag=se&keywords=samsung+smart+watches&qid=1712688580&sprefix=%2Caps%2C254&sr=8-4
"Samsung Galaxy Watch4 Classic Bluetooth(4.6cm, Black, Compatible with Android only)",9999,https://m.media-amazon.com/images/I/51HhdPpD-IL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Classic-Bluetooth-Compatible-Android/dp/B0BNHMJX4Y/ref=sr_1_5?crid=A26YEW40HGP9&dib=eyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y&dib_tag=se&keywords=samsung+smart+watches&qid=1712688580&sprefix=%2Caps%2C254&sr=8-5
"Samsung Galaxy Watch4 LTE (4.0 cm, Black, Compatible with Android only)",11999,https://m.media-amazon.com/images/I/61nBzBREzGL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Galaxy-Watch4-Compatible-Android/dp/B09DG72CFB/ref=sr_1_6?crid=A26YEW40HGP9&dib=eyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y&dib_tag=se&keywords=samsung+smart+watches&qid=1712688580&sprefix=%2Caps%2C254&sr=8-6
"Samsung Galaxy Fit3 (Gray), 40mm AMOLED Display with Aluminium Body, Comprehensive Fitness and Health Tracking, Upto 13-Day Battery with Fast Charging, 5ATM & IP68 Rating",4999,https://m.media-amazon.com/images/I/61sSwX2mo+L._AC_UY218_.jpg,https://www.amazon.in/Samsung-Aluminium-Comprehensive-Tracking-Charging/dp/B0CVN3NK42/ref=sr_1_7?crid=A26YEW40HGP9&dib=eyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y&dib_tag=se&keywords=samsung+smart+watches&qid=1712688580&sprefix=%2Caps%2C254&sr=8-7
"Samsung Galaxy Watch4 Classic Bluetooth(4.6 cm, Silver, Compatible with Android Only)",11899,https://m.media-amazon.com/images/I/71u77Ob5LWL._AC_UY218_.jpg,https://www.amazon.in/Galaxy-Watch4-Classic-Bluetooth-Silver/dp/B09DG6JG6T/ref=sr_1_8?crid=A26YEW40HGP9&dib=eyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y&dib_tag=se&keywords=samsung+smart+watches&qid=1712688580&sprefix=%2Caps%2C254&sr=8-8
"Samsung Galaxy Watch4 Classic Bluetooth(4.2 cm, Silver, Compatible with Android Only)",11179,https://m.media-amazon.com/images/I/710RKMDIJaL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Galaxy-Watch4-Classic-Bluetooth/dp/B09DG6S874/ref=sr_1_9?crid=A26YEW40HGP9&dib=eyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y&dib_tag=se&keywords=samsung+smart+watches&qid=1712688580&sprefix=%2Caps%2C254&sr=8-9
"Samsung Galaxy Watch5 Pro Bluetooth (45 mm, Gray Titanium, Compatible with Android only)",26999,https://m.media-amazon.com/images/I/61X0u+AVtuL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Bluetooth-Titanium-Compatible-Android/dp/B0B99RNZC4/ref=sr_1_10?crid=A26YEW40HGP9&dib=eyJ2IjoiMSJ9.Mg1hp7bBQjMxzbYEK6ACcLNXmarD39SCKiAJCOztZaLlR8yqmxMCAAEHb42shXNboN6E0nSBx5y2ppmS0nevWHKLLViK-1RkmWDRsLeOIeM1ap0nW8DoCR_6VM8OefJjUh_Oppf5Wwt9RA8udJ6m7Lnvioti84FoLigKnU4R5Mn0qNs_a8Xke1rTK1ihwj6QsgmxO7lxLrkv_77XR7onucSW4lJ8pbhL9IDoZtdmfAM.Nv25Cuq8Lk19_LBroGYnPqk2MWYf27IOkR79uWeKp-Y&dib_tag=se&keywords=samsung+smart+watches&qid=1712688580&sprefix=%2Caps%2C254&sr=8-10
