product_name,product_price,product_images,product_hyperlinks
SAMSUNG Watch 4 Classic LTE 46mm Super AMOLED LTE Calli...,16989,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/4/r/y/-original-imagxp8vvheu76xg.jpeg?q=70,https://www.flipkart.com/samsung-watch-4-classic-lte-46mm-super-amoled-calling-body-composition-tracking/p/itmb34d6e24a0d47?pid=SMWG664GRZ3VKANY&lid=LSTSMWG664GRZ3VKANYHY9PR4&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWG664GRZ3VKANY.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
"SAMSUNG Watch 4, 44mmSuper AMOLED bluetooth calling fun...",13999,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/7/s/-original-imagxp8uzzegnddr.jpeg?q=70,https://www.flipkart.com/samsung-watch-4-44mmsuper-amoled-bluetooth-calling-function-body-composition-tracking/p/itm97a9d93363b1f?pid=SMWGD7MNVEKJZRZQ&lid=LSTSMWGD7MNVEKJZRZQVH6PO9&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWGD7MNVEKJZRZQ.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
SAMSUNG Watch 5 pro45mmSuper AMOLED displayLTE callingw...,49998,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/i/i/-original-imagpc2zwjrzg7uu.jpeg?q=70,https://www.flipkart.com/samsung-watch-5-pro45mmsuper-amoled-displaylte-callingwith-advanced-gps-tracking/p/itm7cafa1c29aa02?pid=SMWGH7W4FT7FTPBT&lid=LSTSMWGH7W4FT7FTPBTUCAM9Y&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWGH7W4FT7FTPBT.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
"SAMSUNG Watch 4 Classic, 46mm Super AMOLED BT Calling w...",15899,https://rukminim2.flixcart.com/image/612/612/ksxjs7k0/smartwatch/u/j/h/android-sm-r890nzkainu-samsung-yes-original-imag6dtg9shty8zf.jpeg?q=70,https://www.flipkart.com/samsung-watch-4-classic-46mm-super-amoled-bt-calling-body-composition-tracking/p/itm1f0b2615eb581?pid=SMWG664GKHNXRAAA&lid=LSTSMWG664GKHNXRAAAHNFXUY&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWG664GKHNXRAAA.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
"SAMSUNG Watch 4, 44mm Super AMOLED LTE Calling with Bod...",31999,https://rukminim2.flixcart.com/image/612/612/ksxjs7k0/smartwatch/f/p/x/android-sm-r875fzsainu-samsung-yes-original-imag6dthuswwsypz.jpeg?q=70,https://www.flipkart.com/samsung-watch-4-44mm-super-amoled-lte-calling-body-composition-tracking/p/itm386393196043e?pid=SMWG664G33AW4NUX&lid=LSTSMWG664G33AW4NUX8VDDEE&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWG664G33AW4NUX.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
SAMSUNG Galaxy Watch6 Classic Bluetooth,43998,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/i/w/-original-imagsbw7vumjwfg9.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-watch6-classic-bluetooth/p/itm0188047c07b62?pid=SMWGRV9YWVYRBDNZ&lid=LSTSMWGRV9YWVYRBDNZVOXVSK&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWGRV9YWVYRBDNZ.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
Qexle First QX-5 Ultra HoneycomK youtube & SIM card 4G ...,5999,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/2/a/u/49-first-qx-5-ultra-honeycomk-youtube-sim-card-4g-network-original-imagy9kgbggxdfff.jpeg?q=70,https://www.flipkart.com/qexle-first-qx-5-ultra-honeycomk-youtube-sim-card-4g-network-android-system-smartwatch/p/itm304e46193e0dc?pid=SMWGY9KGE3Y9AHP8&lid=LSTSMWGY9KGE3Y9AHP8TRRCDX&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWGY9KGE3Y9AHP8.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
E-LIVE DZ09 Black 4g calling health notifier Smartwatch,799,https://rukminim2.flixcart.com/image/612/612/k5lcvbk0pkrrdj/smartwatch/z/g/w/dz09-black-i7-enew-original-imafkg6ky3cchzpt.jpeg?q=70,https://www.flipkart.com/e-live-dz09-black-4g-calling-health-notifier-smartwatch/p/itm50fa397882e68?pid=SMWFKH7UECYNJRYP&lid=LSTSMWFKH7UECYNJRYP1UF4KL&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWFKH7UECYNJRYP.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
Bymaya PA1421 D18_ULTRA ACTIVITY TRACKER HEART RATE SMA...,534,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-smartwatch/f/p/j/3-android-ios-pa1421-d18-ultra-activity-tracker-heart-rate-smart-original-imagjnwsytmrmksg.jpeg?q=70,https://www.flipkart.com/bymaya-pa1421-d18-ultra-activity-tracker-heart-rate-smart-watch-black-pack-1-smartwatch/p/itmb81206e42f6a8?pid=SMWGJNXFBYDXJM9H&lid=LSTSMWGJNXFBYDXJM9HODEPZC&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWGJNXFBYDXJM9H.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
TUNIFI S8 Ultra Bluetooth Calling/Music/Fitness Feature...,729,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/f/g/44-s8-ultra-orange-android-sanwaria-yes-original-imagud98umkpcrdh.jpeg?q=70,https://www.flipkart.com/tunifi-s8-ultra-bluetooth-calling-music-fitness-feature-magnetic-charge-touch-screen-smartwatch/p/itm8b1bafcd56c53?pid=SMWGW5P6GHFWBZPH&lid=LSTSMWGW5P6GHFWBZPHGH4N67&marketplace=FLIPKART&q=samsung+smartwatches&store=ajy%2Fbuh&srno=s_1_37&otracker=search&otracker1=search&fm=Search&iid=49696229-62c6-4b8d-a92e-82ff9dda7aaf.SMWGW5P6GHFWBZPH.SEARCH&ppt=sp&ppn=sp&ssid=p9zlwkdju80000001712684082719&qH=c8ebf618d93f0e2b
